,Date,Country,Energy_MoM,Food_MoM,Total_MoM,core_MoM,exchange_rate,unemployment_rate,gdp_growth_MoM,Open,High,Low,Close,Adj Close,Volume,interest_rate
5679,2017-10-01,Canada,1.130491775,1.130491775,1.130491775,1.130491775,105.31,6.4,0.1465836507620475,1.2214808127929782,1.216936524749048,1.233485418658199,1.2231427707034466,1.223050524722147,0.8098885642457979,1.0
5680,2017-10-01,France,1.9714709,1.9714709,1.9714709,1.9714709,100.42,9.1,0.1622501303177173,0.8427447584326667,0.8325056401965276,0.8648448124466521,0.8498925129890608,0.8498925129890608,0.1645783287144896,0.0
5681,2017-10-01,Germany,1.755183675,1.755183675,1.755183675,1.755183675,100.81,3.5,0.2490310530541897,,,,,,,0.0
5682,2017-10-01,Italy,1.893517,1.893517,1.893517,1.893517,102.19,11.1,0.1576539521898949,-0.4612553607375945,-0.4734600238246712,-0.4485785735533094,-0.4579526626831977,-0.4579526626831977,-0.653572589529265,0.0
5683,2017-10-01,Japan,1.7066552499999998,1.7066552499999998,1.7066552499999998,1.7066552499999998,94.58,2.7,0.0170205167400709,0.910289910987106,0.9103626799545256,0.9187270089370172,0.9235434653305098,0.9235434653305098,0.9490644764735828,-0.1
5684,2017-10-01,United Kingdom,3.5,3.5,3.5,3.5,99.15,4.3,0.1986639987841045,1.308021507152017,1.2995149383408164,1.3297173354311156,1.3104545537064105,1.3104545537064105,0.0691672019016719,0.25
5685,2017-10-01,United States,2.7067429,2.7067429,2.7067429,2.7067429,95.06,4.2,0.2860534044095548,1.700827363823906,1.6906131747065711,1.712206693351069,1.7005194305746565,1.7005194305746565,1.6602290026621866,1.125
5686,2017-11-01,Canada,3.090650275,3.090650275,3.090650275,3.090650275,104.2,6.1,0.1465836507620475,1.2192382463613505,1.2232530671281543,1.2337651363133575,1.2304281506109591,1.230333451228896,3.0871411519756897,1.0
5687,2017-11-01,France,2.176039425,2.176039425,2.176039425,2.176039425,100.56,9.0,0.1622501303177173,0.7855503671655756,0.7808762901757748,0.7902112310168005,0.7669221953220503,0.7669221953220503,0.9517619630652892,0.0
5688,2017-11-01,Germany,2.20502675,2.20502675,2.20502675,2.20502675,100.33,3.4,0.2490310530541897,1.4037625856074631,1.4120491567606452,1.4147646256549085,1.3955402761985385,1.3955402761985385,0.9241459237954074,0.0
5689,2017-11-01,Italy,1.87658005,1.87658005,1.87658005,1.87658005,102.01,10.9,0.1576539521898949,-0.5118033197914567,-0.5063383328261437,-0.4957174517012985,-0.5099569566567973,-0.5099569566567973,0.103163572670016,0.0
5690,2017-11-01,Japan,2.2187198,2.2187198,2.2187198,2.2187198,94.81,2.7,0.0170205167400709,0.9897646247012626,0.9919786362024844,0.9939605869906905,1.0040168866088004,1.0040168866088004,1.5542089492742666,-0.1
5691,2017-11-01,United Kingdom,3.625,3.625,3.625,3.625,99.96,4.4,0.1986639987841045,1.2608395273355804,1.249428531663378,1.250451731588891,1.2271099828164955,1.2271099828164955,1.068752452493809,0.5
5692,2017-11-01,United States,3.4834696000000003,3.4834696000000003,3.4834696000000003,3.4834696000000003,95.11,4.2,0.2860534044095548,1.753522157690245,1.7633922564446305,1.769440003741911,1.7671162275578909,1.7671162275578909,2.3232387061604816,1.125
5693,2017-12-01,Canada,2.389465,2.389465,2.389465,2.389465,103.63,6.0,0.1465836507620475,1.2587543755000872,1.2459233973106996,1.2612721848219035,1.2550486119876785,1.2549456214993842,0.6774341091408144,1.0
5694,2017-12-01,France,2.06173945,2.06173945,2.06173945,2.06173945,100.82,9.0,0.1622501303177173,0.7432693285259275,0.7267160926926454,0.7518596998250354,0.7286287040379889,0.7286287040379889,-0.2664207844819193,0.0
5695,2017-12-01,Germany,1.60521675,1.60521675,1.60521675,1.60521675,100.82,3.4,0.2490310530541897,1.3857623481454562,1.3682582580749505,1.3895120963384229,1.3717550465388653,1.3717550465388653,-0.4214252583232076,0.0
5696,2017-12-01,Italy,1.717900875,1.717900875,1.717900875,1.717900875,102.38,10.9,0.1576539521898949,-0.5382982645129254,-0.5559011568432888,-0.5548840332942643,-0.5728259974934259,-0.5728259974934259,-0.880374504467997,0.0
5697,2017-12-01,Japan,2.690206225,2.690206225,2.690206225,2.690206225,94.38,2.7,0.0170205167400709,1.0156711010663408,1.0068782207616158,1.0224049184767436,1.0085268759311707,1.0085268759311707,0.0658379482866844,-0.1
5698,2017-12-01,United Kingdom,3.65,3.65,3.65,3.65,100.84,4.4,0.1986639987841045,1.3756893405424242,1.3894812870817528,1.398249665423253,1.4079736225661348,1.4079736225661348,-0.5967689471536946,0.5
5699,2017-12-01,United States,2.915444975,2.915444975,2.915444975,2.915444975,94.64,4.1,0.2860534044095548,1.803743212508098,1.794885719093505,1.8061999056503149,1.7910862903064126,1.7910862903064126,0.8343878813651612,1.375
5700,2018-01-01,Canada,1.84046475,1.84046475,1.84046475,1.84046475,106.02,5.9,0.2931632790164986,1.21075421806842,1.2022614135148422,1.2152056394977082,1.210293599171698,1.2102056802354737,1.325494961032157,1.25
5701,2018-01-01,France,2.15837635,2.15837635,2.15837635,2.15837635,101.35,9.2,0.0208727331058966,0.8369470354568028,0.82335016356719,0.8531981330065586,0.836312170906538,0.836312170906538,0.2896187261691056,0.0
5702,2018-01-01,Germany,1.535531,1.535531,1.535531,1.535531,100.92,3.3,0.2654924729871342,1.4373608007121823,1.4322592711505524,1.4452181952957128,1.4325576275515557,1.4325576275515557,0.6968784669561014,0.0
5703,2018-01-01,Italy,1.7589188,1.7589188,1.7589188,1.7589188,103.39,11.0,0.0332614793271605,-0.3721249015363401,-0.3782601440293627,-0.3621977942666592,-0.3709126119715158,-0.3709126119715158,-0.489758953263917,0.0
5704,2018-01-01,Japan,3.014150625,3.014150625,3.014150625,3.014150625,94.65,2.4,0.0221417441202014,1.0578303188715177,1.0622841347420489,1.0609692900931982,1.0461321535507708,1.0461321535507708,0.907984172836983,-0.1
5705,2018-01-01,United Kingdom,3.25,3.25,3.25,3.25,101.38,4.3,0.018591037151588,1.3582089625256204,1.3403906330495767,1.3487651934346605,1.3307397526368068,1.3307397526368068,0.342243157790305,0.5
5706,2018-01-01,United States,2.620051,2.620051,2.620051,2.620051,93.13,4.0,0.2194537108982139,1.934034277715751,1.9296712804553535,1.935368451638127,1.929399705683437,1.929399705683437,1.9155806904259376,1.375
