TIME_PERIOD,interest_rate,country
1966-11,5.0,Germany
1966-12,5.0,Germany
1967-01,4.5,Germany
1967-02,4.0,Germany
1967-03,4.0,Germany
1967-04,3.5,Germany
1967-05,3.0,Germany
1967-06,3.0,Germany
1967-07,3.0,Germany
1967-08,3.0,Germany
1967-09,3.0,Germany
1967-10,3.0,Germany
1967-11,3.0,Germany
1967-12,3.0,Germany
1968-01,3.0,Germany
1968-02,3.0,Germany
1968-03,3.0,Germany
1968-04,3.0,Germany
1968-05,3.0,Germany
1968-06,3.0,Germany
1968-07,3.0,Germany
1968-08,3.0,Germany
1968-09,3.0,Germany
1968-10,3.0,Germany
1968-11,3.0,Germany
1968-12,3.0,Germany
1969-01,3.0,Germany
1969-02,3.0,Germany
1969-03,3.0,Germany
1969-04,4.0,Germany
1969-05,4.0,Germany
1969-06,5.0,Germany
1969-07,5.0,Germany
1969-08,5.0,Germany
1969-09,6.0,Germany
1969-10,6.0,Germany
1969-11,6.0,Germany
1969-12,6.0,Germany
1970-01,6.0,Germany
